config,dataset,seed,params,train_samples,epochs,batch,lr,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
L2_b2_1e2,d138,11,25718538,1380,25,16,0.0001,1.0,0.7450000047683716,0.7549999952316284,0.7540165185928345,16,77.9
L2_b2_1e2,d138,22,25718538,1380,25,16,0.0001,1.0,0.7450000047683716,0.800000011920929,0.7418869733810425,13,79.2
L2_b2_1e2,d138,33,25718538,1380,25,16,0.0001,1.0,0.7350000143051147,0.75,0.7439292669296265,11,78.1
L2_b2_1e2,d234,11,25718538,2340,25,16,0.0001,1.0,0.7549999952316284,0.7599999904632568,0.7739363312721252,13,120.7
L2_b2_1e2,d234,22,25718538,2340,25,16,0.0001,1.0,0.699999988079071,0.7549999952316284,0.7748897671699524,11,120.2
L2_b2_1e2,d234,33,25718538,2340,25,16,0.0001,1.0,0.7099999785423279,0.7549999952316284,0.7657432556152344,8,120.1
L2_b2_1e2,d90,11,25718538,900,25,16,0.0001,1.0,0.7149999737739563,0.75,0.9389374256134033,16,57.9
L2_b2_1e2,d90,22,25718538,900,25,16,0.0001,1.0,0.7300000190734863,0.7300000190734863,0.9349955916404724,15,57.6
L2_b2_1e2,d90,33,25718538,900,25,16,0.0001,1.0,0.7049999833106995,0.7200000286102295,0.913100004196167,12,57.8
L2_b2_1e3,d138,11,25718538,1380,25,16,0.0001,1.0,0.75,0.7599999904632568,0.7554918527603149,16,78.6
L2_b2_1e3,d138,22,25718538,1380,25,16,0.0001,1.0,0.7450000047683716,0.7900000214576721,0.736701488494873,16,78.5
L2_b2_1e3,d138,33,25718538,1380,25,16,0.0001,1.0,0.7400000095367432,0.7749999761581421,0.7429299354553223,11,78.7
L2_b2_1e3,d234,11,25718538,2340,25,16,0.0001,1.0,0.7350000143051147,0.7450000047683716,0.7843118906021118,8,119.8
L2_b2_1e3,d234,22,25718538,2340,25,16,0.0001,1.0,0.7149999737739563,0.7749999761581421,0.7783161997795105,11,119.9
L2_b2_1e3,d234,33,25718538,2340,25,16,0.0001,1.0,0.6949999928474426,0.7549999952316284,0.766014039516449,8,120.0
L2_b2_1e3,d90,11,25718538,900,25,16,0.0001,1.0,0.7200000286102295,0.75,0.9368013143539429,24,58.1
L2_b2_1e3,d90,22,25718538,900,25,16,0.0001,1.0,0.7200000286102295,0.7350000143051147,0.9507272839546204,18,57.9
L2_b2_1e3,d90,33,25718538,900,25,16,0.0001,1.0,0.7049999833106995,0.7200000286102295,0.9131507873535156,12,58.7
L2_b2_1e4,d138,11,25718538,1380,25,16,0.0001,1.0,0.75,0.7599999904632568,0.7560605406761169,16,79.0
