set_num,set_name,word,source_frames,written,padded,trimmed_start,trimmed_end,height,width
23,set_23,red,64,60,0,1,3,1280,720
24,set_24,bat,60,60,0,0,0,1280,720
24,set_24,cup,65,60,0,1,4,1280,720
24,set_24,drop,76,60,0,4,12,1280,720
24,set_24,eat,66,60,0,2,4,1280,720
24,set_24,fish,73,60,0,3,10,1280,720
24,set_24,hot,64,60,0,1,3,1280,720
24,set_24,jump,69,60,0,2,7,1280,720
24,set_24,milk,74,60,0,3,11,1280,720
24,set_24,pen,76,60,0,4,12,1280,720
24,set_24,red,72,60,0,3,9,1280,720
25,set_25,bat,74,60,0,3,11,1280,720
25,set_25,cup,59,60,1,0,0,1280,720
25,set_25,drop,76,60,0,4,12,1280,720
25,set_25,eat,69,60,0,2,7,1280,720
25,set_25,fish,76,60,0,4,12,1280,720
25,set_25,hot,74,60,0,3,11,1280,720
25,set_25,jump,85,60,0,5,20,1280,720
25,set_25,milk,77,60,0,4,13,1280,720
25,set_25,pen,76,60,0,4,12,1280,720
25,set_25,red,73,60,0,3,10,1280,720
26,set_26,bat,68,60,0,2,6,1280,720
26,set_26,cup,62,60,0,1,1,1280,720
26,set_26,drop,57,60,3,0,0,1280,720
26,set_26,eat,56,60,4,0,0,1280,720
26,set_26,fish,61,60,0,1,0,1280,720
26,set_26,hot,64,60,0,1,3,1280,720
26,set_26,jump,62,60,0,1,1,1280,720
26,set_26,milk,58,60,2,0,0,1280,720
26,set_26,pen,59,60,1,0,0,1280,720
26,set_26,red,60,60,0,0,0,1280,720
27,set_27,bat,57,60,3,0,0,1280,720
27,set_27,cup,48,60,12,0,0,1280,720
27,set_27,drop,60,60,0,0,0,1280,720
27,set_27,eat,53,60,7,0,0,1280,720
27,set_27,fish,60,60,0,0,0,1280,720
27,set_27,hot,61,60,0,1,0,1280,720
27,set_27,jump,65,60,0,1,4,1280,720
27,set_27,milk,55,60,5,0,0,1280,720
27,set_27,pen,61,60,0,1,0,1280,720
27,set_27,red,63,60,0,1,2,1280,720
28,set_28,bat,40,60,20,0,0,1280,720
28,set_28,cup,47,60,13,0,0,1280,720
28,set_28,drop,49,60,11,0,0,1280,720
28,set_28,eat,44,60,16,0,0,1280,720
28,set_28,fish,48,60,12,0,0,1280,720
28,set_28,hot,58,60,2,0,0,1280,720
28,set_28,jump,57,60,3,0,0,1280,720
28,set_28,milk,56,60,4,0,0,1280,720
28,set_28,pen,49,60,11,0,0,1280,720
28,set_28,red,50,60,10,0,0,1280,720
29,set_29,bat,60,60,0,0,0,1280,720
29,set_29,cup,59,60,1,0,0,1280,720
29,set_29,drop,66,60,0,2,4,1280,720
29,set_29,eat,54,60,6,0,0,1280,720
29,set_29,fish,59,60,1,0,0,1280,720
29,set_29,hot,57,60,3,0,0,1280,720
29,set_29,jump,62,60,0,1,1,1280,720
29,set_29,milk,57,60,3,0,0,1280,720
29,set_29,pen,58,60,2,0,0,1280,720
29,set_29,red,58,60,2,0,0,1280,720
30,set_30,bat,53,60,7,0,0,1280,720
30,set_30,cup,66,60,0,2,4,1280,720
30,set_30,drop,59,60,1,0,0,1280,720
30,set_30,eat,59,60,1,0,0,1280,720
30,set_30,fish,58,60,2,0,0,1280,720
30,set_30,hot,61,60,0,1,0,1280,720
30,set_30,jump,59,60,1,0,0,1280,720
30,set_30,milk,57,60,3,0,0,1280,720
30,set_30,pen,57,60,3,0,0,1280,720
30,set_30,red,56,60,4,0,0,1280,720
31,set_31,bat,60,60,0,0,0,1280,720
31,set_31,cup,57,60,3,0,0,1280,720
31,set_31,drop,60,60,0,0,0,1280,720
31,set_31,eat,60,60,0,0,0,1280,720
31,set_31,fish,61,60,0,1,0,1280,720
31,set_31,hot,73,60,0,3,10,1280,720
31,set_31,jump,76,60,0,4,12,1280,720
31,set_31,milk,61,60,0,1,0,1280,720
31,set_31,pen,68,60,0,2,6,1280,720
31,set_31,red,65,60,0,1,4,1280,720
32,set_32,bat,55,60,5,0,0,1280,720
32,set_32,cup,53,60,7,0,0,1280,720
32,set_32,drop,57,60,3,0,0,1280,720
32,set_32,eat,61,60,0,1,0,1280,720
32,set_32,fish,61,60,0,1,0,1280,720
32,set_32,hot,54,60,6,0,0,1280,720
32,set_32,jump,53,60,7,0,0,1280,720
32,set_32,milk,52,60,8,0,0,1280,720
32,set_32,pen,62,60,0,1,1,1280,720
32,set_32,red,58,60,2,0,0,1280,720
33,set_33,bat,55,60,5,0,0,1280,720
33,set_33,cup,52,60,8,0,0,1280,720
33,set_33,drop,69,60,0,2,7,1280,720
33,set_33,eat,59,60,1,0,0,1280,720
33,set_33,fish,62,60,0,1,1,1280,720
33,set_33,hot,60,60,0,0,0,1280,720
33,set_33,jump,55,60,5,0,0,1280,720
33,set_33,milk,62,60,0,1,1,1280,720
33,set_33,pen,61,60,0,1,0,1280,720
33,set_33,red,57,60,3,0,0,1280,720
34,set_34,bat,52,60,8,0,0,1280,720
34,set_34,cup,54,60,6,0,0,1280,720
34,set_34,drop,59,60,1,0,0,1280,720
34,set_34,eat,46,60,14,0,0,1280,720
34,set_34,fish,60,60,0,0,0,1280,720
34,set_34,hot,53,60,7,0,0,1280,720
34,set_34,jump,57,60,3,0,0,1280,720
34,set_34,milk,60,60,0,0,0,1280,720
34,set_34,pen,59,60,1,0,0,1280,720
34,set_34,red,49,60,11,0,0,1280,720
35,set_35,bat,59,60,1,0,0,1280,720
35,set_35,cup,60,60,0,0,0,1280,720
35,set_35,drop,51,60,9,0,0,1280,720
35,set_35,eat,58,60,2,0,0,1280,720
35,set_35,fish,61,60,0,1,0,1280,720
35,set_35,hot,62,60,0,1,1,1280,720
35,set_35,jump,63,60,0,1,2,1280,720
35,set_35,milk,68,60,0,2,6,1280,720
35,set_35,pen,62,60,0,1,1,1280,720
35,set_35,red,60,60,0,0,0,1280,720
36,set_36,bat,62,60,0,1,1,1280,720
36,set_36,cup,72,60,0,3,9,1280,720
36,set_36,drop,66,60,0,2,4,1280,720
36,set_36,eat,66,60,0,2,4,1280,720
36,set_36,fish,79,60,0,4,15,1280,720
36,set_36,hot,70,60,0,2,8,1280,720
36,set_36,jump,83,60,0,5,18,1280,720
36,set_36,milk,72,60,0,3,9,1280,720
36,set_36,pen,66,60,0,2,4,1280,720
36,set_36,red,71,60,0,3,8,1280,720
37,set_37,bat,53,60,7,0,0,1280,720
37,set_37,cup,68,60,0,2,6,1280,720
37,set_37,drop,73,60,0,3,10,1280,720
37,set_37,eat,75,60,0,3,12,1280,720
37,set_37,fish,78,60,0,4,14,1280,720
37,set_37,hot,76,60,0,4,12,1280,720
37,set_37,jump,71,60,0,3,8,1280,720
37,set_37,milk,68,60,0,2,6,1280,720
37,set_37,pen,60,60,0,0,0,1280,720
37,set_37,red,70,60,0,2,8,1280,720
38,set_38,bat,70,60,0,2,8,1280,720
38,set_38,cup,70,60,0,2,8,1280,720
38,set_38,drop,72,60,0,3,9,1280,720
38,set_38,eat,65,60,0,1,4,1280,720
38,set_38,fish,83,60,0,5,18,1280,720
38,set_38,hot,68,60,0,2,6,1280,720
38,set_38,jump,76,60,0,4,12,1280,720
38,set_38,milk,75,60,0,3,12,1280,720
38,set_38,pen,70,60,0,2,8,1280,720
38,set_38,red,82,60,0,5,17,1280,720
39,set_39,bat,63,60,0,1,2,1280,720
39,set_39,cup,68,60,0,2,6,1280,720
39,set_39,drop,81,60,0,5,16,1280,720
39,set_39,eat,85,60,0,5,20,1280,720
39,set_39,fish,77,60,0,4,13,1280,720
39,set_39,hot,70,60,0,2,8,1280,720
39,set_39,jump,71,60,0,3,8,1280,720
39,set_39,milk,90,60,0,6,24,1280,720
39,set_39,pen,81,60,0,5,16,1280,720
39,set_39,red,69,60,0,2,7,1280,720
40,set_40,bat,67,60,0,2,5,1280,720
40,set_40,cup,66,60,0,2,4,1280,720
40,set_40,drop,77,60,0,4,13,1280,720
40,set_40,eat,63,60,0,1,2,1280,720
40,set_40,fish,70,60,0,2,8,1280,720
40,set_40,hot,70,60,0,2,8,1280,720
40,set_40,jump,78,60,0,4,14,1280,720
40,set_40,milk,67,60,0,2,5,1280,720
40,set_40,pen,65,60,0,1,4,1280,720
40,set_40,red,70,60,0,2,8,1280,720
41,set_41,bat,71,60,0,3,8,1280,720
41,set_41,cup,69,60,0,2,7,1280,720
41,set_41,drop,56,60,4,0,0,1280,720
41,set_41,eat,66,60,0,2,4,1280,720
41,set_41,fish,63,60,0,1,2,1280,720
41,set_41,hot,75,60,0,3,12,1280,720
41,set_41,jump,80,60,0,4,16,1280,720
41,set_41,milk,71,60,0,3,8,1280,720
41,set_41,pen,61,60,0,1,0,1280,720
41,set_41,red,80,60,0,4,16,1280,720
42,set_42,bat,62,60,0,1,1,1280,720
42,set_42,cup,76,60,0,4,12,1280,720
42,set_42,drop,78,60,0,4,14,1280,720
42,set_42,eat,77,60,0,4,13,1280,720
42,set_42,fish,77,60,0,4,13,1280,720
42,set_42,hot,73,60,0,3,10,1280,720
42,set_42,jump,73,60,0,3,10,1280,720
42,set_42,milk,81,60,0,5,16,1280,720
42,set_42,pen,87,60,0,6,21,1280,720
42,set_42,red,78,60,0,4,14,1280,720
43,set_43,bat,67,60,0,2,5,1280,720
43,set_43,cup,74,60,0,3,11,1280,720
43,set_43,drop,79,60,0,4,15,1280,720
43,set_43,eat,76,60,0,4,12,1280,720
43,set_43,fish,80,60,0,4,16,1280,720
43,set_43,hot,81,60,0,5,16,1280,720
43,set_43,jump,76,60,0,4,12,1280,720
43,set_43,milk,84,60,0,5,19,1280,720
43,set_43,pen,83,60,0,5,18,1280,720
43,set_43,red,84,60,0,5,19,1280,720
44,set_44,bat,63,60,0,1,2,1280,720
44,set_44,cup,74,60,0,3,11,1280,720
44,set_44,drop,78,60,0,4,14,1280,720
44,set_44,eat,73,60,0,3,10,1280,720
44,set_44,fish,79,60,0,4,15,1280,720
44,set_44,hot,79,60,0,4,15,1280,720
44,set_44,jump,80,60,0,4,16,1280,720
44,set_44,milk,77,60,0,4,13,1280,720
44,set_44,pen,93,60,0,7,26,1280,720
44,set_44,red,71,60,0,3,8,1280,720
45,set_45,bat,61,60,0,1,0,1280,720
45,set_45,cup,52,60,8,0,0,1280,720
45,set_45,drop,69,60,0,2,7,1280,720
45,set_45,eat,69,60,0,2,7,1280,720
45,set_45,fish,62,60,0,1,1,1280,720
45,set_45,hot,69,60,0,2,7,1280,720
45,set_45,jump,82,60,0,5,17,1280,720
45,set_45,milk,68,60,0,2,6,1280,720
45,set_45,pen,65,60,0,1,4,1280,720
45,set_45,red,63,60,0,1,2,1280,720
46,set_46,bat,68,60,0,2,6,1280,720
46,set_46,cup,71,60,0,3,8,1280,720
46,set_46,drop,77,60,0,4,13,1280,720
46,set_46,eat,78,60,0,4,14,1280,720
46,set_46,fish,81,60,0,5,16,1280,720
46,set_46,hot,70,60,0,2,8,1280,720
46,set_46,jump,69,60,0,2,7,1280,720
46,set_46,milk,73,60,0,3,10,1280,720
46,set_46,pen,77,60,0,4,13,1280,720
46,set_46,red,77,60,0,4,13,1280,720
47,set_47,bat,63,60,0,1,2,1280,720
47,set_47,cup,73,60,0,3,10,1280,720
47,set_47,drop,71,60,0,3,8,1280,720
47,set_47,eat,77,60,0,4,13,1280,720
47,set_47,fish,79,60,0,4,15,1280,720
47,set_47,hot,64,60,0,1,3,1280,720
47,set_47,jump,69,60,0,2,7,1280,720
47,set_47,milk,77,60,0,4,13,1280,720
47,set_47,pen,76,60,0,4,12,1280,720
47,set_47,red,76,60,0,4,12,1280,720
48,set_48,bat,56,60,4,0,0,1280,720
48,set_48,cup,63,60,0,1,2,1280,720
48,set_48,drop,69,60,0,2,7,1280,720
48,set_48,eat,77,60,0,4,13,1280,720
48,set_48,fish,80,60,0,4,16,1280,720
48,set_48,hot,73,60,0,3,10,1280,720
48,set_48,jump,64,60,0,1,3,1280,720
48,set_48,milk,82,60,0,5,17,1280,720
48,set_48,pen,85,60,0,5,20,1280,720
48,set_48,red,68,60,0,2,6,1280,720
49,set_49,bat,71,60,0,3,8,1280,720
49,set_49,cup,65,60,0,1,4,1280,720
49,set_49,drop,82,60,0,5,17,1280,720
49,set_49,eat,77,60,0,4,13,1280,720
49,set_49,fish,74,60,0,3,11,1280,720
49,set_49,hot,75,60,0,3,12,1280,720
49,set_49,jump,76,60,0,4,12,1280,720
49,set_49,milk,77,60,0,4,13,1280,720
49,set_49,pen,66,60,0,2,4,1280,720
49,set_49,red,60,60,0,0,0,1280,720
50,set_50,bat,53,60,7,0,0,1280,720
50,set_50,cup,67,60,0,2,5,1280,720
50,set_50,drop,61,60,0,1,0,1280,720
50,set_50,eat,58,60,2,0,0,1280,720
50,set_50,fish,66,60,0,2,4,1280,720
50,set_50,hot,75,60,0,3,12,1280,720
50,set_50,jump,74,60,0,3,11,1280,720
50,set_50,milk,66,60,0,2,4,1280,720
50,set_50,pen,66,60,0,2,4,1280,720
50,set_50,red,77,60,0,4,13,1280,720
51,set_51,bat,64,60,0,1,3,1280,720
51,set_51,cup,66,60,0,2,4,1280,720
51,set_51,drop,80,60,0,4,16,1280,720
51,set_51,eat,84,60,0,5,19,1280,720
51,set_51,fish,79,60,0,4,15,1280,720
51,set_51,hot,74,60,0,3,11,1280,720
51,set_51,jump,70,60,0,2,8,1280,720
51,set_51,milk,78,60,0,4,14,1280,720
51,set_51,pen,72,60,0,3,9,1280,720
51,set_51,red,89,60,0,6,23,1280,720
