set_name,word,total,detected,failed_frames,fills,status
set_49,red,60,60,,,OK
set_50,bat,60,60,,,OK
set_50,cup,60,60,,,OK
set_50,drop,60,60,,,OK
set_50,eat,60,60,,,OK
set_50,fish,60,60,,,OK
set_50,hot,60,60,,,OK
set_50,jump,60,60,,,OK
set_50,milk,60,60,,,OK
set_50,pen,60,60,,,OK
set_50,red,60,60,,,OK
set_51,bat,60,60,,,OK
set_51,cup,60,60,,,OK
set_51,drop,60,60,,,OK
set_51,eat,60,60,,,OK
set_51,fish,60,60,,,OK
set_51,hot,60,60,,,OK
set_51,jump,60,60,,,OK
set_51,milk,60,60,,,OK
set_51,pen,60,60,,,OK
set_51,red,60,60,,,OK
set_52,bat,60,60,,,OK
set_52,cup,60,60,,,OK
set_52,drop,60,60,,,OK
set_52,eat,60,60,,,OK
set_52,fish,60,60,,,OK
set_52,hot,60,60,,,OK
set_52,jump,60,60,,,OK
set_52,milk,60,60,,,OK
set_52,pen,60,60,,,OK
set_52,red,60,60,,,OK
set_53,bat,60,60,,,OK
set_53,cup,60,60,,,OK
set_53,drop,60,60,,,OK
set_53,eat,60,60,,,OK
set_53,fish,60,60,,,OK
set_53,hot,60,60,,,OK
set_53,jump,60,60,,,OK
set_53,milk,60,60,,,OK
set_53,pen,60,60,,,OK
set_53,red,60,60,,,OK
set_54,bat,60,60,,,OK
set_54,cup,60,60,,,OK
set_54,drop,60,60,,,OK
set_54,eat,60,60,,,OK
set_54,fish,60,60,,,OK
set_54,hot,60,60,,,OK
set_54,jump,60,60,,,OK
set_54,milk,60,60,,,OK
set_54,pen,60,60,,,OK
set_54,red,60,60,,,OK
set_55,bat,60,60,,,OK
set_55,cup,60,60,,,OK
set_55,drop,60,60,,,OK
set_55,eat,60,60,,,OK
set_55,fish,60,60,,,OK
set_55,hot,60,60,,,OK
set_55,jump,60,60,,,OK
set_55,milk,60,60,,,OK
set_55,pen,60,60,,,OK
set_55,red,60,60,,,OK
set_56,bat,60,60,,,OK
set_56,cup,60,60,,,OK
set_56,drop,60,60,,,OK
set_56,eat,60,60,,,OK
set_56,fish,60,60,,,OK
set_56,hot,60,60,,,OK
set_56,jump,60,60,,,OK
set_56,milk,60,60,,,OK
set_56,pen,60,60,,,OK
set_56,red,60,60,,,OK
set_57,bat,60,60,,,OK
set_57,cup,60,60,,,OK
set_57,drop,60,60,,,OK
set_57,eat,60,60,,,OK
set_57,fish,60,60,,,OK
set_57,hot,60,60,,,OK
set_57,jump,60,60,,,OK
set_57,milk,60,60,,,OK
set_57,pen,60,60,,,OK
set_57,red,60,60,,,OK
set_58,bat,60,60,,,OK
set_58,cup,60,60,,,OK
set_58,drop,60,60,,,OK
set_58,eat,60,60,,,OK
set_58,fish,60,60,,,OK
set_58,hot,60,60,,,OK
set_58,jump,60,60,,,OK
set_58,milk,60,60,,,OK
set_58,pen,60,60,,,OK
set_58,red,60,60,,,OK
set_59,bat,60,60,,,OK
set_59,cup,60,60,,,OK
set_59,drop,60,60,,,OK
set_59,eat,60,60,,,OK
set_59,fish,60,60,,,OK
set_59,hot,60,60,,,OK
set_59,jump,60,60,,,OK
set_59,milk,60,60,,,OK
set_59,pen,60,60,,,OK
set_59,red,60,60,,,OK
set_60,bat,60,60,,,OK
set_60,cup,60,60,,,OK
set_60,drop,60,60,,,OK
set_60,eat,60,60,,,OK
set_60,fish,60,60,,,OK
set_60,hot,60,60,,,OK
set_60,jump,60,60,,,OK
set_60,milk,60,60,,,OK
set_60,pen,60,60,,,OK
set_60,red,60,60,,,OK
